id_1,nome_1,id_2,nome_2,distanza_km
F01,Farmacia Comunale 1 – Piazza Municipio,F02,Farmacia Comunale 2 – Via Bologna,1.334
F01,Farmacia Comunale 1 – Piazza Municipio,F03,Farmacia Comunale 3 – Via Modena,1.876
F01,Farmacia Comunale 1 – Piazza Municipio,F04,Farmacia Andreotti – Corso Giovecca,0.289
F01,Farmacia Comunale 1 – Piazza Municipio,F05,Farmacia Bagni – Via Garibaldi,0.225
F01,Farmacia Comunale 1 – Piazza Municipio,F06,Farmacia Bonora – Via Cavour,0.389
F01,Farmacia Comunale 1 – Piazza Municipio,F07,Farmacia Caleffi – Via Rampari,0.913
F01,Farmacia Comunale 1 – Piazza Municipio,F08,Farmacia Casetti – Viale Po,1.487
F01,Farmacia Comunale 1 – Piazza Municipio,F09,Farmacia Dallari – Via Ariosto,0.718
F01,Farmacia Comunale 1 – Piazza Municipio,F10,Farmacia Del Dosso – Via Darsena,1.547
F01,Farmacia Comunale 1 – Piazza Municipio,F11,Farmacia Fantoni – Via Comacchio,2.256
F01,Farmacia Comunale 1 – Piazza Municipio,F12,Farmacia Forti – Corso Porta Reno,0.561
F01,Farmacia Comunale 1 – Piazza Municipio,F13,Farmacia Frizzi – Via Frizzi,1.017
F01,Farmacia Comunale 1 – Piazza Municipio,F14,Farmacia Mastellari – Via Ripagrande,1.137
F01,Farmacia Comunale 1 – Piazza Municipio,F15,Farmacia Mazzini – Piazza Mazzini,0.682
F01,Farmacia Comunale 1 – Piazza Municipio,F16,Farmacia Modonesi – Via Palestro,1.543
F01,Farmacia Comunale 1 – Piazza Municipio,F17,Farmacia Paolini – Via Porta San Pietro,0.759
F01,Farmacia Comunale 1 – Piazza Municipio,F18,Farmacia Raveri – Via Ravenna,2.186
F01,Farmacia Comunale 1 – Piazza Municipio,F19,Farmacia Riminaldi – Viale Cavour,0.123
F01,Farmacia Comunale 1 – Piazza Municipio,F20,Farmacia Rinaldi – Via Kennedy,2.068
F01,Farmacia Comunale 1 – Piazza Municipio,F21,Farmacia Rossi – Via Piangipane,1.818
F01,Farmacia Comunale 1 – Piazza Municipio,F22,Farmacia Samaritana – Piazza Ariostea,0.855
F01,Farmacia Comunale 1 – Piazza Municipio,F23,Farmacia Sant'Anna – Via Boschetto,2.074
F01,Farmacia Comunale 1 – Piazza Municipio,F24,Farmacia Scandurra – Via Porta Mare,0.531
F01,Farmacia Comunale 1 – Piazza Municipio,F25,Farmacia Tondini – Via Ferrarese,1.674
F01,Farmacia Comunale 1 – Piazza Municipio,F26,Farmacia Ventura – Via Pontegradella,1.913
F01,Farmacia Comunale 1 – Piazza Municipio,F27,Farmacia Vigna – Viale Risorgimento,0.301
F01,Farmacia Comunale 1 – Piazza Municipio,F28,Farmacia Zanella – Via Boccaleone,2.546
F02,Farmacia Comunale 2 – Via Bologna,F03,Farmacia Comunale 3 – Via Modena,1.078
F02,Farmacia Comunale 2 – Via Bologna,F04,Farmacia Andreotti – Corso Giovecca,1.615
F02,Farmacia Comunale 2 – Via Bologna,F05,Farmacia Bagni – Via Garibaldi,1.11
F02,Farmacia Comunale 2 – Via Bologna,F06,Farmacia Bonora – Via Cavour,1.094
F02,Farmacia Comunale 2 – Via Bologna,F07,Farmacia Caleffi – Via Rampari,2.233
F02,Farmacia Comunale 2 – Via Bologna,F08,Farmacia Casetti – Viale Po,2.142
F02,Farmacia Comunale 2 – Via Bologna,F09,Farmacia Dallari – Via Ariosto,1.322
F02,Farmacia Comunale 2 – Via Bologna,F10,Farmacia Del Dosso – Via Darsena,2.875
F02,Farmacia Comunale 2 – Via Bologna,F11,Farmacia Fantoni – Via Comacchio,3.583
